"Positionsinhaber","Emittent","ISIN","Position","Datum"
"LMR Partners LLP","Nordex SE","DE000A0D6554","0,55","2022-07-26"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","0,49","2022-07-26"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,59","2022-07-26"
"Marshall Wace LLP","adidas AG","DE000A1EWWW0","1,01","2022-07-26"
"Susquehanna International Group Limited","HUGO BOSS AG","DE000A1PHFF7","0,65","2022-07-26"
"Qube Research & Technologies Limited","Delivery Hero SE","DE000A2E4K43","0,81","2022-07-26"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,61","2022-07-26"
"Sandbar Asset Management","KION GROUP AG","DE000KGX8881","0,63","2022-07-26"
"Millennium International Management LP","STRATEC SE","DE000STRA555","0,43","2022-07-26"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,72","2022-07-26"
"Qube Research & Technologies Limited","ADLER Group SA","LU1250154413","0,50","2022-07-26"
"Citadel Advisors LLC","Adtran Holdings, Inc","US00486H1059","0,49","2022-07-26"
"Park West Asset Management LLC","Kontron AG","AT0000A0E9W5","0,89","2022-07-25"
"Sandbar Asset Management","HeidelbergCement AG","DE0006047004","0,80","2022-07-25"
"WorldQuant, LLC","DEUTZ Aktiengesellschaft","DE0006305006","0,49","2022-07-25"
"Qube Research & Technologies Limited","Rheinmetall Aktiengesellschaft","DE0007030009","0,99","2022-07-25"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,49","2022-07-25"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,47","2022-07-25"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,45","2022-07-25"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,33","2022-07-25"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,49","2022-07-25"
"Marshall Wace LLP","adidas AG","DE000A1EWWW0","0,99","2022-07-25"
"Susquehanna International Group Limited","HUGO BOSS AG","DE000A1PHFF7","0,70","2022-07-25"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,55","2022-07-25"
"Numeric Investors LLC","Delivery Hero SE","DE000A2E4K43","0,64","2022-07-25"
"Sandbar Asset Management","Siemens Energy AG","DE000ENER6Y0","0,61","2022-07-25"
"Citadel Advisors LLC","Zalando SE","DE000ZAL1111","0,87","2022-07-25"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,69","2022-07-25"
"Qube Research & Technologies Limited","ADLER Group SA","LU1250154413","0,49","2022-07-25"
"Citadel Advisors LLC","Shop Apotheke Europe NV","NL0012044747","0,61","2022-07-25"
"Citadel Advisors LLC","Adtran Holdings, Inc","US00486H1059","0,59","2022-07-25"
"Millennium Capital Partners LLP","ADTRAN HOLDINGS INC","US00486H1059","0,14","2022-07-25"
"Millennium International Management LP","ADTRAN HOLDINGS INC","US00486H1059","0,14","2022-07-25"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,51","2022-07-22"
"Millennium International Management LP","HeidelbergCement AG","DE0006047004","0,51","2022-07-22"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,35","2022-07-22"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,89","2022-07-22"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,46","2022-07-22"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,49","2022-07-22"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,50","2022-07-22"
"LMR Partners LLP","Nordex SE","DE000A0D6554","0,63","2022-07-22"
"Qube Research & Technologies Limited","Nordex SE","DE000A0D6554","0,36","2022-07-22"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,53","2022-07-22"
"GSA Capital Partners LLP","home24 SE","DE000A14KEB5","0,72","2022-07-22"
"Marble Bar Asset Management LLP","SÜSS MicroTec SE","DE000A1K0235","0,89","2022-07-22"
"AQR Capital Management, LLC","Delivery Hero SE","DE000A2E4K43","0,48","2022-07-22"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,62","2022-07-22"
"Citadel Advisors LLC","AUTO1 Group SE","DE000A2LQ884","0,49","2022-07-22"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,59","2022-07-22"
"Marshall Wace LLP","Instone Real Estate Group SE","DE000A2NBX80","0,68","2022-07-22"
"Sandbar Asset Management","Siemens Energy AG","DE000ENER6Y0","0,59","2022-07-22"
"Sandbar Asset Management","Evonik Industries AG","DE000EVNK013","0,61","2022-07-22"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","1,39","2022-07-22"
"Citadel Advisors LLC","TUI AG","DE000TUAG000","0,50","2022-07-22"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,60","2022-07-22"
"BlackRock Investment Management (UK) Limited","Zalando SE","DE000ZAL1111","0,62","2022-07-22"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","1,63","2022-07-22"
"Citadel Advisors LLC","Zalando SE","DE000ZAL1111","0,91","2022-07-22"
"AHL Partners LLP","Shop Apotheke Europe N.V.","NL0012044747","0,79","2022-07-22"
"Citadel Advisors LLC","Adtran Holdings, Inc","US00486H1059","0,62","2022-07-22"
"Citadel Advisors LLC","GFT Technologies SE","DE0005800601","0,49","2022-07-21"
"Millennium International Management LP","HeidelbergCement AG","DE0006047004","0,49","2022-07-21"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,11","2022-07-21"
"LMR Partners LLP","SFC Energy AG","DE0007568578","0,77","2022-07-21"
"GUEVOURA FUND","Nordex SE","DE000A0D6554","0,60","2022-07-21"
"Jane Street Group LLC","Nordex SE","DE000A0D6554","0,59","2022-07-21"
"MCP (Switzerland) Sarl","Nordex SE","DE000A0D6554","0,56","2022-07-21"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,65","2022-07-21"
"Voleon Capital Management LP","AIXTRON SE","DE000A0WMPJ6","0,50","2022-07-21"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,57","2022-07-21"
"Mirabella Financial Services LLP","HelloFresh SE","DE000A161408","0,51","2022-07-21"
"Susquehanna International Group Limited","HUGO BOSS AG","DE000A1PHFF7","0,61","2022-07-21"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,71","2022-07-21"
"Eleva Capital","Software Aktiengesellschaft","DE000A2GS401","0,75","2022-07-21"
"WorldQuant, LLC","Westwing Group SE","DE000A2N4H07","0,59","2022-07-21"
"Millennium Capital Partners LLP","Evonik Industries AG","DE000EVNK013","0,49","2022-07-21"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,89","2022-07-21"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","1,57","2022-07-21"
"Citadel Advisors LLC","ADLER GROUP SA","LU1250154413","0,49","2022-07-21"
"Susquehanna International Group Limited","Adler Group","LU1250154413","0,00","2022-07-21"
"Citadel Advisors Europe Limited","Continental Aktiengesellschaft","DE0005439004","0,40","2022-07-20"
"Capital Fund Management SA","LANXESS Aktiengesellschaft","DE0005470405","0,50","2022-07-20"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,48","2022-07-20"
"Bridgewater Associates, LP","Deutsche Börse Aktiengesellschaft","DE0005810055","0,59","2022-07-20"
"Millennium International Management LP","HeidelbergCement AG","DE0006047004","0,50","2022-07-20"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,48","2022-07-20"
"Bridgewater Associates, LP","Infineon Technologies AG","DE0006231004","0,59","2022-07-20"
"BlackRock Institutional Trust Company, National Association","MorphoSys AG","DE0006632003","0,99","2022-07-20"
"Systematica Investments Limited","MorphoSys AG","DE0006632003","1,68","2022-07-20"
"Marshall Wace LLP","Aurubis AG","DE0006766504","1,09","2022-07-20"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,58","2022-07-20"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,58","2022-07-20"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,15","2022-07-20"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,72","2022-07-20"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,68","2022-07-20"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,80","2022-07-20"
"Qube Research & Technologies Limited","Delivery Hero SE","DE000A2E4K43","0,74","2022-07-20"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,63","2022-07-20"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,58","2022-07-20"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,58","2022-07-20"
"Millennium Capital Partners LLP","Evonik Industries AG","DE000EVNK013","0,50","2022-07-20"
"Sandbar Asset Management","KION GROUP AG","DE000KGX8881","0,59","2022-07-20"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","1,45","2022-07-20"
"Gladstone Capital Management LLP","TUI AG","DE000TUAG000","0,83","2022-07-20"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","1,46","2022-07-20"
"BlackRock Institutional Trust Company, National Association","ASOS PLC","GB0030927254","0,79","2022-07-20"
"Qube Research & Technologies Limited","LANXESS Aktiengesellschaft","DE0005470405","0,57","2022-07-19"
"Millennium International Management LP","HeidelbergCement AG","DE0006047004","0,49","2022-07-19"
"Sandbar Asset Management","HeidelbergCement AG","DE0006047004","0,77","2022-07-19"
"Qube Research & Technologies Limited","Rheinmetall Aktiengesellschaft","DE0007030009","1,09","2022-07-19"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,64","2022-07-19"
"QUARTYS LIMITED","TAG Immobilien AG","DE0008303504","0,51","2022-07-19"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,84","2022-07-19"
"BlackRock Investment Management (UK) Limited","HelloFresh SE","DE000A161408","0,97","2022-07-19"
"Susquehanna International Group Limited","HUGO BOSS AG","DE000A1PHFF7","0,52","2022-07-19"
"AKO Capital LLP","JENOPTIK Aktiengesellschaft","DE000A2NB601","1,21","2022-07-19"
"Sandbar Asset Management","Evonik Industries AG","DE000EVNK013","0,59","2022-07-19"
"Marshall Wace LLP","Wacker Chemie AG","DE000WCH8881","0,50","2022-07-19"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","1,38","2022-07-19"
"BlackRock Investment Management (UK) Limited","FEVERTREE DRINKS PLC","GB00BRJ9BJ26","4,53","2022-07-19"
"BlackRock Investment Management (UK) Limited","VICTORIA PLC","GB00BZC0LC10","0,58","2022-07-19"
"Susquehanna International Group Limited","Adler Group","LU1250154413","1,22","2022-07-19"
"Bronte Capital Management Pty Ltd","Avadel Pharmaceuticals plc","US05337M1045","0,58","2022-07-19"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,69","2022-07-18"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,00","2022-07-18"
"WorldQuant, LLC","Rheinmetall Aktiengesellschaft","DE0007030009","0,51","2022-07-18"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,48","2022-07-18"
"Marshall Wace LLP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","0,76","2022-07-18"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,52","2022-07-18"
"WorldQuant, LLC","TAG Immobilien AG","DE0008303504","0,46","2022-07-18"
"Qube Research & Technologies Limited","Nordex SE","DE000A0D6554","0,96","2022-07-18"
"Marble Bar Asset Management LLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,81","2022-07-18"
"Point72 Europe (London) LLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,61","2022-07-18"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","0,96","2022-07-18"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,61","2022-07-18"
"BlackRock Investment Management (UK) Limited","HelloFresh SE","DE000A161408","1,00","2022-07-18"
"Viking Global Investors LP","HUGO BOSS AG","DE000A1PHFF7","0,96","2022-07-18"
"Qube Research & Technologies Limited","Delivery Hero SE","DE000A2E4K43","0,87","2022-07-18"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,70","2022-07-18"
"Marshall Wace LLP","Evonik Industries AG","DE000EVNK013","0,49","2022-07-18"
"Citadel Advisors LLC","Zalando SE","DE000ZAL1111","0,80","2022-07-18"
"BlackRock Investment Management (UK) Limited","FEVERTREE DRINKS PLC","GB00BRJ9BJ26","4,43","2022-07-18"
"Qube Research & Technologies Limited","ADLER Group SA","LU1250154413","0,59","2022-07-18"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,73","2022-07-15"
"Marshall Wace LLP","GFT Technologies SE","DE0005800601","0,69","2022-07-15"
"Helikon Investments Limited","ENCAVIS AG","DE0006095003","2,09","2022-07-15"
"UBS Asset Management (UK) Ltd","Nordex SE","DE000A0D6554","0,33","2022-07-15"
"Ennismore Fund Management Limited","SMA Solar Technology AG","DE000A0DJ6J9","0,50","2022-07-15"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,19","2022-07-15"
"Point72 Europe (London) LLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,54","2022-07-15"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,23","2022-07-15"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,13","2022-07-15"
"Acadian Asset Management LLC","home24 SE","DE000A14KEB5","0,47","2022-07-15"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,58","2022-07-15"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,68","2022-07-15"
"Marshall Wace LLP","Westwing Group SE","DE000A2N4H07","0,77","2022-07-15"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","1,52","2022-07-15"
"Gladstone Capital Management LLP","TUI AG","DE000TUAG000","0,74","2022-07-15"
"Millennium Capital Partners LLP","ADTRAN HOLDINGS INC","US00486H1059","0,71","2022-07-15"
"Millennium International Management LP","ADTRAN HOLDINGS INC","US00486H1059","0,70","2022-07-15"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,69","2022-07-14"
"Millennium International Management LP","HeidelbergCement AG","DE0006047004","0,50","2022-07-14"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,90","2022-07-14"
"Viking Global Investors LP","Deutsche Lufthansa Aktiengesellschaft","DE0008232125","1,45","2022-07-14"
"WorldQuant, LLC","TAG Immobilien AG","DE0008303504","0,53","2022-07-14"
"Qube Research & Technologies Limited","Nordex SE","DE000A0D6554","1,09","2022-07-14"
"UBS Asset Management (UK) Ltd","Nordex SE","DE000A0D6554","1,64","2022-07-14"
"Voleon Capital Management LP","Mynaric AG","DE000A0JCY11","0,49","2022-07-14"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,18","2022-07-14"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,22","2022-07-14"
"Half Sky Capital (UK) Ltd","HUGO BOSS AG","DE000A1PHFF7","0,11","2022-07-14"
"Eleva Capital","Software Aktiengesellschaft","DE000A2GS401","0,64","2022-07-14"
"Marshall Wace LLP","Instone Real Estate Group SE","DE000A2NBX80","0,79","2022-07-14"
"Point72 Europe (London) LLP","TeamViewer AG","DE000A2YN900","0,88","2022-07-14"
"Millennium Capital Partners LLP","Evonik Industries AG","DE000EVNK013","0,49","2022-07-14"
"Qube Research & Technologies Limited","Klöckner & Co SE","DE000KC01000","0,71","2022-07-14"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,92","2022-07-14"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","1,49","2022-07-14"
"Qube Research & Technologies Limited","ADO Properties S.A.","LU1250154413","0,61","2022-07-14"
"Citadel Advisors LLC","Shop Apotheke Europe NV","NL0012044747","0,57","2022-07-14"
"Bridgewater Associates, LP","Deutsche Post AG","DE0005552004","0,49","2022-07-13"
"Sandbar Asset Management","HeidelbergCement AG","DE0006047004","0,84","2022-07-13"
"Arrowstreet Capital, Limited Partnership","Nordex SE","DE000A0D6554","0,79","2022-07-13"
"Qube Research & Technologies Limited","Nordex SE","DE000A0D6554","1,10","2022-07-13"
"AKO Capital LLP","SMA Solar Technology AG","DE000A0DJ6J9","0,81","2022-07-13"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,20","2022-07-13"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,37","2022-07-13"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,60","2022-07-13"
"Bridgewater Associates, LP","Vonovia SE","DE000A1ML7J1","0,58","2022-07-13"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,76","2022-07-13"
"BlackRock Investment Management (UK) Limited","AUTO1 Group SE","DE000A2LQ884","1,01","2022-07-13"
"Citadel Advisors LLC","AUTO1 Group SE","DE000A2LQ884","0,52","2022-07-13"
"Boldhaven Management LLP","Nagarro SE","DE000A3H2200","0,50","2022-07-13"
"Kairos Investment Management Limited","Nagarro SE","DE000A3H2200","0,52","2022-07-13"
"Marshall Wace LLP","Evonik Industries AG","DE000EVNK013","0,58","2022-07-13"
"JPMorgan Asset Management (UK) Ltd","flatexDEGIRO AG","DE000FTG1111","0,85","2022-07-13"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,48","2022-07-12"
"Sandbar Asset Management","Drägerwerk AG & Co. KGaA","DE0005550602","0,49","2022-07-12"
"Sandbar Asset Management","HeidelbergCement AG","DE0006047004","0,74","2022-07-12"
"Helikon Investments Limited","ENCAVIS AG","DE0006095003","2,17","2022-07-12"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,59","2022-07-12"
"Arrowstreet Capital, Limited Partnership","MorphoSys AG","DE0006632003","1,58","2022-07-12"
"AHL Partners LLP","Nordex SE","DE000A0D6554","0,56","2022-07-12"
"Arrowstreet Capital, Limited Partnership","Nordex SE","DE000A0D6554","0,65","2022-07-12"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,19","2022-07-12"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,47","2022-07-12"
"Arrowstreet Capital, Limited Partnership","home24 SE","DE000A14KEB5","0,48","2022-07-12"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,53","2022-07-12"
"GSA Capital Partners LLP","home24 SE","DE000A14KEB5","0,64","2022-07-12"
"BlackRock Investment Management (UK) Limited","HUGO BOSS AG","DE000A1PHFF7","1,43","2022-07-12"
"WorldQuant, LLC","Klöckner & Co SE","DE000KC01000","0,89","2022-07-12"
"Sandbar Asset Management","Schaeffler AG","DE000SHA0159","2,05","2022-07-12"
"Gladstone Capital Management LLP","TUI AG","DE000TUAG000","0,64","2022-07-12"
"Citadel Advisors LLC","Zalando SE","DE000ZAL1111","0,79","2022-07-12"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,76","2022-07-12"
"Voleon Capital Management LP","SHOP APOTHEKE EUROPE","NL0012044747","0,59","2022-07-12"
"Marshall Wace LLP","Continental Aktiengesellschaft","DE0005439004","0,49","2022-07-11"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,90","2022-07-11"
"Sandbar Asset Management","HeidelbergCement AG","DE0006047004","0,84","2022-07-11"
"Point72 Europe (London) LLP","Covestro AG","DE0006062144","0,40","2022-07-11"
"LMR Partners LLP","ENCAVIS AG","DE0006095003","0,50","2022-07-11"
"Jane Street Group LLC","TAG Immobilien AG","DE0008303504","0,52","2022-07-11"
"AHL Partners LLP","Nordex SE","DE000A0D6554","0,46","2022-07-11"
"AKO Capital LLP","Nordex SE","DE000A0D6554","0,19","2022-07-11"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","1,03","2022-07-11"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,56","2022-07-11"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,58","2022-07-11"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,70","2022-07-11"
"WorldQuant, LLC","Westwing Group SE","DE000A2N4H07","0,69","2022-07-11"
"Atlas Special Opportunities, LLC","fox e-mobility AG","DE000A2NB551","3,12","2022-07-11"
"Sandbar Asset Management","Knorr-Bremse Aktiengesellschaft","DE000KBX1006","0,50","2022-07-11"
"Qube Research & Technologies Limited","Klöckner & Co SE","DE000KC01000","0,63","2022-07-11"
"Argonaut Capital","Argonaut Capital Partners LLP","LU1250154413","0,49","2022-07-11"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,76","2022-07-08"
"Helikon Investments Limited","ENCAVIS AG","DE0006095003","2,29","2022-07-08"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,60","2022-07-08"
"Bridgewater Associates, LP","Mercedes-Benz Group AG","DE0007100000","0,49","2022-07-08"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,58","2022-07-08"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,58","2022-07-08"
"Sandbar Asset Management","MTU Aero Engines AG","DE000A0D9PT0","0,46","2022-07-08"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,64","2022-07-08"
"Marshall Wace LLP","home24 SE","DE000A14KEB5","0,56","2022-07-08"
"Marshall Wace LLP","HelloFresh SE","DE000A161408","2,79","2022-07-08"
"Mirabella Financial Services LLP","HelloFresh SE","DE000A161408","0,48","2022-07-08"
"Point72 Europe (London) LLP","TeamViewer AG","DE000A2YN900","0,61","2022-07-08"
"JPMorgan Asset Management (UK) Ltd","flatexDEGIRO AG","DE000FTG1111","1,07","2022-07-08"
"JPMorgan Asset Management (UK) Ltd","ITM Power PLC","GB00B0130H42","1,04","2022-07-08"
"Citadel Advisors LLC","Shop Apotheke Europe NV","NL0012044747","0,64","2022-07-08"
"Qube Research & Technologies Limited","Shop Apotheke Europe NV","NL0012044747","0,49","2022-07-08"
"GSA Capital Partners LLP","Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien","DE0005493092","0,50","2022-07-07"
"Point72 Europe (London) LLP","Covestro AG","DE0006062144","0,50","2022-07-07"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","0,83","2022-07-07"
"Canada Pension Plan Investment Board","Nemetschek SE","DE0006452907","0,59","2022-07-07"
"Armistice Capital, LLC","MorphoSys AG","DE0006632003","0,99","2022-07-07"
"Systematica Investments Limited","MorphoSys AG","DE0006632003","1,74","2022-07-07"
"Jane Street Group LLC","Mercedes-Benz Group AG","DE0007100000","0,44","2022-07-07"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,60","2022-07-07"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,60","2022-07-07"
"Clearance Capital Limited","Deutsche EuroShop AG","DE0007480204","0,52","2022-07-07"
"Jane Street Group LLC","thyssenkrupp AG","DE0007500001","0,43","2022-07-07"
"Marshall Wace LLP","thyssenkrupp AG","DE0007500001","0,53","2022-07-07"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,54","2022-07-07"
"Citadel Advisors LLC","SFC Energy AG","DE0007568578","0,48","2022-07-07"
"Voleon Capital Management LP","Mynaric AG","DE000A0JCY11","0,59","2022-07-07"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,24","2022-07-07"
"SIH Partners, LLLP","VARTA AKTIENGESELLSCHAFT","DE000A0TGJ55","0,93","2022-07-07"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,74","2022-07-07"
"Acadian Asset Management LLC","home24 SE","DE000A14KEB5","0,54","2022-07-07"
"Arrowstreet Capital, Limited Partnership","home24 SE","DE000A14KEB5","0,58","2022-07-07"
"Marshall Wace LLP","home24 SE","DE000A14KEB5","0,66","2022-07-07"
"Voleon Capital Management LP","home24 SE","DE000A14KEB5","0,59","2022-07-07"
"AHL Partners LLP","HelloFresh SE","DE000A161408","0,52","2022-07-07"
"BlackRock Investment Management (UK) Limited","HelloFresh SE","DE000A161408","1,20","2022-07-07"
"Marshall Wace LLP","HUGO BOSS AG","DE000A1PHFF7","0,42","2022-07-07"
"Viking Global Investors LP","HUGO BOSS AG","DE000A1PHFF7","0,83","2022-07-07"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,80","2022-07-07"
"Qube Research & Technologies Limited","Delivery Hero SE","DE000A2E4K43","0,99","2022-07-07"
"Atlas Special Opportunities, LLC","fox e-mobility AG","DE000A2NB551","3,00","2022-07-07"
"AHL Partners LLP","TeamViewer AG","DE000A2YN900","0,50","2022-07-07"
"Point72 Europe (London) LLP","TeamViewer AG","DE000A2YN900","0,51","2022-07-07"
"Marshall Wace LLP","Evonik Industries AG","DE000EVNK013","0,68","2022-07-07"
"AHL Partners LLP","flatexDEGIRO AG","DE000FTG1111","1,00","2022-07-07"
"Qube Research & Technologies Limited","Klöckner & Co SE","DE000KC01000","0,50","2022-07-07"
"Citadel Advisors LLC","Zalando SE","DE000ZAL1111","0,87","2022-07-07"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","0,89","2022-07-07"
"JPMorgan Asset Management (UK) Ltd","ITM Power PLC","GB00B0130H42","0,96","2022-07-07"
"Point72 Europe (London) LLP","LANXESS Aktiengesellschaft","DE0005470405","1,89","2022-07-06"
"Point72 Europe (London) LLP","Covestro AG","DE0006062144","0,83","2022-07-06"
"Millennium Capital Partners LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,51","2022-07-06"
"Bridgewater Associates, LP","Mercedes-Benz Group AG","DE0007100000","0,50","2022-07-06"
"Jane Street Group LLC","Mercedes-Benz Group AG","DE0007100000","0,55","2022-07-06"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","0,52","2022-07-06"
"Citadel Advisors Europe Limited","MTU Aero Engines AG","DE000A0D9PT0","0,48","2022-07-06"
"Kuvari Partners LLP","Gerresheimer AG","DE000A0LD6E6","0,82","2022-07-06"
"Canada Pension Plan Investment Board","AIXTRON SE","DE000A0WMPJ6","1,84","2022-07-06"
"Citadel Advisors LLC","home24 SE","DE000A14KEB5","0,47","2022-07-06"
"GSA Capital Partners LLP","home24 SE","DE000A14KEB5","0,51","2022-07-06"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,61","2022-07-06"
"Viking Global Investors LP","HUGO BOSS AG","DE000A1PHFF7","0,69","2022-07-06"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","1,79","2022-07-06"
"Citadel Advisors LLC","Westwing Group SE","DE000A2N4H07","0,69","2022-07-06"
"BlackRock Investment Management (UK) Limited","TeamViewer AG","DE000A2YN900","0,62","2022-07-06"
"Marshall Wace LLP","flatexDEGIRO AG","DE000FTG1111","0,49","2022-07-06"
"Sandbar Asset Management","Schaeffler AG","DE000SHA0159","1,99","2022-07-06"
"Millennium International Management LP","STRATEC SE","DE000STRA555","0,59","2022-07-06"
"Citadel Advisors Europe Limited","Zalando SE","DE000ZAL1111","1,48","2022-07-06"
"BlackRock Institutional Trust Company, National Association","ASOS PLC","GB0030927254","0,81","2022-07-06"
